ประทับเวลา,อายุ,ระดับการศึกษา,ตำแหน่งงาน,ตำแหน่งงานอื่น นอกเหนือจาก List ข้างต้น,อายุการทำงานแบบเต็มเวลา,เงินเดือน,ทำงานในอุตสาหกรรมใด,เรียนรู้การเขียนโปรแกรมมาแล้วกี่ปี,[ASP .net],[Assembly],[Bash/Shell/PowerShell],[C],[C#],[C++],[Clojure],[Dart],[Elixir],[Erlang],[Go],[Groovy],[Haskell],[HTML/CSS],[Java],[JavaScript],[Julia],[Kotlin],[Lua],[Objective-C],[Ocaml],[Pascal],[Perl],[PHP],[Python],[R],[Ruby],[Rust],[Scala],[SQL],ภาษาเขียนโปรแกรมอื่นที่ใช้ นอกเหนือจาก List ข้างต้น,ทักษะ/ภาษาเขียนโปรแกรมใดที่คุณจะเรียนรู้ในอีก 12 เดือนข้างหน้า,ทักษะ/ภาษาเขียนโปรแกรมอื่น นอกเหนือจาก List ข้างต้น,ทักษะในด้านของ Digital อื่นๆ ที่คุณมี,ช่องทางการเรียนรู้ทางใดที่จะช่วยให้คุณเรียนรู้ได้มากที่สุด (โดยไม่คำนึงเรื่องค่าใช้จ่าย),ระบบคอร์สเรียนออนไลน์แบบใดที่จะช่วยให้คุณเรียนรู้ได้มากที่สุด,อะไรคือสิ่งสำคัญที่สุดที่ทำให้คุณมีแรงบันดาลใจในการทำงาน,อะไรคือสิ่งสำคัญที่สุดในการ ตัดสินใจเลือกงานใหม่,อะไรคือปัญหาใหญ่ที่สุดในการทำงานของคุณตอนนี้,อะไรที่ทำให้คุณหมดไฟในการทำงาน,เงินเดือนที่คาดหวังภายใน 12 เดือนข้างหน้า,เงินเดือนที่คาดหวังสูงสุดในสายอาชีพของคุณ,คุณสามารถช่วย Contribute อะไรให้กับสมาคมโปรแกรมเมอร์ไทยได้บ้าง,คุณต้องการให้สมาคมโปรแกรมเมอร์ไทยช่วยเหลือหรือโฟกัสในเรื่องใด
2562/07/26 10:06:06 หลังเที่ยง GMT+7,31 - 35 ปี,ปริญญาตรี,QA or Test developer,,1 - 2 ปี,"15,001 - 20,000 บาท",Hospitality Industry,น้อยกว่า 1 ปี,,,,,,,,,,,,,,,,,,,,,,,,ระดับพื้นฐาน,,,,,,,,Data Science,,Cloud/SaaS Services;Computer Vision,คอร์สเรียน Online,คอร์สออนไลน์รูปแบบวีดีโอภาษาไทย พร้อมแบบฝึกหัด/Lab,เงินเดือนและสวัสดิการ,เงินเดือนและสวัสดิการที่มากขึ้น,ความรู้ความชำนาญไม่เพียงพอ,ไม่พึงพอใจผู้ร่วมงาน,"31,000 - 40,000 บาท","151,000 - 200,000 บาท",,
2562/07/26 10:06:46 หลังเที่ยง GMT+7,21 - 25 ปี,ปริญญาตรี,Student,,ยังไม่ได้ทำงานเต็มเวลา,"ต่ำกว่า 15,000 บาท",อื่นๆ,5 ปี,,ระดับพื้นฐาน,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,,,,,,,,,,,,,,,,,,,,ระดับพื้นฐาน,,,,,ระดับพื้นฐาน,,Data Science;Database;Python;SQL,,Computer Vision;Data Science,คอร์สเรียน Online,คอร์สออนไลน์รูปแบบวีดีโอภาษาไทย พร้อมแบบฝึกหัด/Lab,ความก้าวหน้า,มีความท้าทายมากขึ้น,จัดการเวลาไม่ได้,ไม่พึงพอใจวัฒนธรรมองค์กร,"21,000 - 30,000 บาท","31,000 - 40,000 บาท",,
2562/07/26 10:09:47 หลังเที่ยง GMT+7,21 - 25 ปี,ปริญญาตรี,Front-end developer,,มากกว่า 30 ปี,"50,001 - 60,000 บาท",Health care Industry,,,,,,,,,,,,ระดับพื้นฐาน,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,,,,,,,,ระดับพื้นฐาน,,,,,ระดับพื้นฐาน,,CI/CD;Blockchain;Database;Go,,Blockchain;SEO,บทความ,คอร์สออนไลน์รูปแบบวีดีโอภาษาอังกฤษ พร้อมแบบฝึกหัด/Lab,ความท้าทาย,มีโอกาสเติบโตและก้าวหน้ากว่าเดิม,ความไม่ชัดเจนของรายละเอียดงาน,ไม่เกิดการเรียนรู้สิ่งใหม่ๆ,"71,000 - 80,000 บาท","มากกว่า 200,000 บาท",เป็น speaker ให้ตามมหาลัยต่างๆ,เปิดคอร์สสอนออนลไน์เรียนฟรี
2562/07/26 10:10:23 หลังเที่ยง GMT+7,21 - 25 ปี,ปริญญาตรี,Embedded applications or devices developer,,มากกว่า 30 ปี,"ต่ำกว่า 15,000 บาท",Electronics Industry,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,,,,,,,ระดับพื้นฐาน,ระดับพื้นฐาน,ระดับพื้นฐาน,,,,,,,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,,,,,,Blockchain;Data Science;Internet of Things;JavaScript;Swift,,Computer Vision;Internet of things;Quantum computing,หนังสือ / E-book,คอร์สออนไลน์รูปแบบเอกสารและบทความ ภาษาอังกฤษ,ความท้าทาย,มีความท้าทายมากขึ้น,งานที่ทำตอนนี้ยังไม่ท้าทาย,ไม่พึงพอใจผู้ร่วมงาน,"31,000 - 40,000 บาท","มากกว่า 200,000 บาท",บทความ,สงเสริมให้เด็กๆได้เขียนโปรแกรม หรือบางสิ่งที่พัฒนาตรรกะ
2562/07/26 10:11:23 หลังเที่ยง GMT+7,21 - 25 ปี,ปริญญาตรี,Desktop or Enterprise applications developer,Salesforce Developer,1 - 2 ปี,"30,001 - 40,000 บาท",Computer Industry,6 ปี,,,,,ระดับพื้นฐาน,ระดับพื้นฐาน,,,,,ระดับพื้นฐาน,,,ระดับพื้นฐาน,ระดับพื้นฐาน,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,,,,,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,ระดับพื้นฐาน,,ระดับพื้นฐาน,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,"Apex, TypeScript, SOQL",CI/CD;Database;Git and Pull Requests;Go,Apex,,หนังสือ / E-book,คอร์สออนไลน์รูปแบบเอกสารและบทความ ภาษาไทย,ความท้าทาย,มีความท้าทายมากขึ้น,ความรู้ความชำนาญไม่เพียงพอ,ไม่เกิดการเรียนรู้สิ่งใหม่ๆ,"41,000 - 50,000 บาท","มากกว่า 200,000 บาท",มีไรให้ช่วยก็บอก คือไม่รู้ว่าสมาคมต้องการความช่วยเหลืออะไรที่เราทำได้บ้าง,
2562/07/26 10:11:26 หลังเที่ยง GMT+7,26 - 30 ปี,ปริญญาตรี,Full-stack developer,,ยังไม่ได้ทำงานเต็มเวลา,"30,001 - 40,000 บาท",Computer Industry,,,,,,,,,,,,,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,,,,,,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,,,,,,,,CI/CD;Data Science;Database;C#,,Content Marketing,คอร์สเรียน Online,คอร์สออนไลน์รูปแบบเอกสารและบทความ ภาษาไทย,เงินเดือนและสวัสดิการ,Work-life balance ที่ดีขึ้น,ความรู้ความชำนาญไม่เพียงพอ,เงินเดือนและสวัสดิการไม่คุ้มค่า,"51,000 - 60,000 บาท","151,000 - 200,000 บาท",-,คอร์สออนไลน์
2562/07/26 10:12:36 หลังเที่ยง GMT+7,18 - 20 ปี,ปริญญาตรี,Student,,ยังไม่ได้ทำงานเต็มเวลา,"ต่ำกว่า 15,000 บาท",อื่นๆ,2 ปี,,ระดับพื้นฐาน,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,ระดับพื้นฐาน,,ระดับพื้นฐาน,,,,,,,,ระดับพื้นฐาน,ระดับพื้นฐาน,ระดับพื้นฐาน,,,,,,,,,ระดับพื้นฐาน,,,,,ระดับพื้นฐาน,,CI/CD;Data Science;Database;Security;Bash/Shell/PowerShell;Go;JavaScript;PHP;Python;Rust;SQL;Swift;TypeScript,,Cloud/SaaS Services;Graphic Design;Internet of things,หนังสือ / E-book,คอร์สออนไลน์รูปแบบวีดีโอภาษาไทย พร้อมแบบฝึกหัด/Lab,ความท้าทาย,Work-life balance ที่ดีขึ้น,ความรู้ความชำนาญไม่เพียงพอ,งานหนักเกินไป,"15,000 - 20,000 บาท","151,000 - 200,000 บาท",งานไหนคนไม่พอ พี่อิศเรศทักส่วนตัวมาบอกได้เลยครับ,ร่วมกับองค์กรรัฐให้ความรู้เด็กวัย 6-12 ปีเกี่ยวกับการเขียนโปรแกรม(อย่างถูกวิธี) การทำ flowchart และรู้จักคำว่า Algorithm
2562/07/26 10:15:23 หลังเที่ยง GMT+7,26 - 30 ปี,ปริญญาตรี,Full-stack developer,,7 - 10 ปี,"90,001 - 100,000 บาท",Computer Industry,16 ปี,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,ระดับพื้นฐาน,,,,,,,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,,,,,,,ระดับพื้นฐาน,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,,,,ระดับพื้นฐาน,,CI/CD;Internet of Things;Go;JavaScript;Python;TypeScript,,Augmented or virtual reality;Blockchain;Cloud/SaaS Services;Computer Vision;Cyber Security;Data Visualization;Digital Business Analysis;Graphic Design;Internet of things;Systems Analysis,คอร์สเรียน Online,คอร์สออนไลน์รูปแบบวีดีโอภาษาไทย พร้อมแบบฝึกหัด/Lab,ความสนุก และความภูมิใจของงาน,Work-life balance ที่ดีขึ้น,จัดการเวลาไม่ได้,งานหนักเกินไป,"110,000 - 150,000 บาท","มากกว่า 200,000 บาท","องค์ความรู้ระบบออนไลน์ต่างๆ เช่น Grader online ด้วยภาษา Python เป็นต้น, โจทย์ฝึกฝน Programming skill (คัดจากที่อื่นมา), หรืออยากแชร์โปรเจคใดๆ ทำให้เป็น opensource แล้วประกาศหา contributor ก็ดีนะครับ (ลองเป็น pilot project ดูก็ได้)",ผลักดัน/ปรับพื้นฐานให้ผู้สนใจเขียนโปรแกรมแต่ขาดโอกาส (ปัจจุบันทำได้ดีมากๆอยู่แล้ว)
2562/07/26 10:17:42 หลังเที่ยง GMT+7,26 - 30 ปี,มัธยมศึกษาตอนต้น,System administrator,,11 - 15 ปี,"30,001 - 40,000 บาท",Manufacturing Industry,15 ปี,,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,,,,,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,,,,,,,,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,Java;JavaScript;PHP;SQL;VBA,,Cyber Security;Digital Business Analysis,Youtube,คอร์สออนไลน์รูปแบบวีดีโอภาษาไทย พร้อมแบบฝึกหัด/Lab,ความท้าทาย,มีความท้าทายมากขึ้น,ความรู้ความชำนาญไม่เพียงพอ,ถูกจำกัดในกรมแคบๆ,"51,000 - 60,000 บาท","110,000 - 150,000 บาท",,มองข้ามความขัดแย้งทางการเมืองแล้วช่วยกันสร้างสังคมที่ดีขึ้น
2562/07/26 10:18:13 หลังเที่ยง GMT+7,21 - 25 ปี,ปริญญาตรี,etc,Software Implementer,1 - 2 ปี,"20,001 - 30,000 บาท",อื่นๆ,4 ปี,,,,,,ระดับพื้นฐาน,,,,,,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,ระดับพื้นฐาน,,,,,,,,ระดับพื้นฐาน,ระดับพื้นฐาน,,,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,CI/CD;Blockchain,,Graphic Design,หนังสือ / E-book,คอร์สออนไลน์รูปแบบวีดีโอภาษาไทย พร้อมแบบฝึกหัด/Lab,Work-life balance,Work-life balance ที่ดีขึ้น,จัดการเวลาไม่ได้,จัดการ Work-life balance ไม่ได้,"31,000 - 40,000 บาท","61,000 - 70,000 บาท",,
2562/07/26 10:19:13 หลังเที่ยง GMT+7,21 - 25 ปี,ปริญญาตรี,etc,ครู,1 - 2 ปี,"ต่ำกว่า 15,000 บาท",Education Industry,4 ปี,,,,ระดับพื้นฐาน,,,,,,,,,,ระดับพื้นฐาน,ระดับพื้นฐาน,,,,,,,,,ระดับพื้นฐาน,ระดับพื้นฐาน,ระดับพื้นฐาน,,,,ระดับพื้นฐาน,,Database;Java;JavaScript;Python;R;SQL,,Data Science,คอร์สเรียน Offline,คอร์สออนไลน์รูปแบบวีดีโอภาษาไทย พร้อมแบบฝึกหัด/Lab,ความก้าวหน้า,มีโอกาสเติบโตและก้าวหน้ากว่าเดิม,ความรู้ความชำนาญไม่เพียงพอ,ไม่เกิดการเรียนรู้สิ่งใหม่ๆ,"31,000 - 40,000 บาท","61,000 - 70,000 บาท",ตอนนี้ยังไม่มี เพราะไม่มีทุนพอที่จะให้การสนับสนุนได้,ให้สามารถเข้าถึงการเรียนรู้ได้ง่าย
2562/07/26 10:19:14 หลังเที่ยง GMT+7,41 - 50 ปี,ปริญญาตรี,Educator,,3 - 4 ปี,"ต่ำกว่า 15,000 บาท",Education Industry,2 ปี,,,,,,ระดับพื้นฐาน,,,,,,,,,,,,,,,,,,,,,,,,,coding,Blockchain;C;C++;Python,,Computer Vision;Internet of things;Social media Marketing,Youtube,คอร์สออนไลน์รูปแบบวีดีโอภาษาไทย พร้อมแบบฝึกหัด/Lab,ความท้าทาย,มีความท้าทายมากขึ้น,ความไม่ชัดเจนของรายละเอียดงาน,เงินเดือนและสวัสดิการไม่คุ้มค่า,"15,000 - 20,000 บาท","31,000 - 40,000 บาท",เพยแพร่,โปรแกรมสมัยใหม่เสมอ
2562/07/26 10:19:57 หลังเที่ยง GMT+7,ต่ำกว่า 18 ปี,มัธยมศึกษาตอนปลาย,Student,,ยังไม่ได้ทำงานเต็มเวลา,"ต่ำกว่า 15,000 บาท",อื่นๆ,7 ปี,,,,ระดับพื้นฐาน,ระดับพื้นฐาน,ระดับพื้นฐาน,,,,,,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,ระดับพื้นฐาน,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,,,,,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,ระดับพื้นฐาน,,,,,ระดับพื้นฐาน,,Blockchain;Data Science;Database;Internet of Things;Security;Assembly;Bash/Shell/PowerShell;Clojure;Dart;Go;Kotlin;Python;Ruby,,Augmented or virtual reality;Blockchain;Cyber Security;Data Visualization;Graphic Design,คอร์สเรียน Online,คอร์สออนไลน์รูปแบบเอกสารและบทความ ภาษาอังกฤษ,ความท้าทาย,Work-life balance ที่ดีขึ้น,ความรู้ความชำนาญไม่เพียงพอ,จัดการ Work-life balance ไม่ได้,"ต่ำกว่า 15,000 บาท","151,000 - 200,000 บาท",,
2562/07/26 10:20:29 หลังเที่ยง GMT+7,26 - 30 ปี,ปริญญาตรี,Full-stack developer,,1 - 2 ปี,"20,001 - 30,000 บาท",อื่นๆ,8 ปี,,,ระดับพื้นฐาน,ระดับพื้นฐาน,,ระดับพื้นฐาน,,,,,,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,,,,,,,ระดับพื้นฐาน,ระดับพื้นฐาน,,,,,ระดับพื้นฐาน,PLC(Ladder Logic),CI/CD;Data Science;Internet of Things;Security;Dart;TypeScript,,Data Visualization,คอร์สเรียน Offline,คอร์สออนไลน์รูปแบบวีดีโอภาษาไทย พร้อมแบบฝึกหัด/Lab,Work-life balance,มีโอกาสเติบโตและก้าวหน้ากว่าเดิม,ความรู้ความชำนาญไม่เพียงพอ,เงินเดือนและสวัสดิการไม่คุ้มค่า,"31,000 - 40,000 บาท","61,000 - 70,000 บาท",ยังไม่แน่ใจครับ,ยังรู้สึกว่า อยากจะให้สายงานนี้มีการทดสอบวัดระดับครับ เป็น level ไปเรื่อยๆ เพื่อที่ผู้ว่าจ้างอาจจะจ้างงานตามระดับของทักษะที่มี (เช่นระบบนับสต็อคสินค้า required ทักษะในระดับไหน) เพราะในบางครั้งผมก็ไม่แน่ใจว่าผมอยู่ในระดับไหน ดีพอที่จะก้าวออกจากเซฟโซนหรือเปล่า
2562/07/26 10:21:35 หลังเที่ยง GMT+7,21 - 25 ปี,ปริญญาตรี,Student,,ยังไม่ได้ทำงานเต็มเวลา,"ต่ำกว่า 15,000 บาท",Education Industry,,,ระดับพื้นฐาน,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,,,,,,,,,ระดับพื้นฐาน,,,,,,,,,,ระดับพื้นฐาน,,,,,,,,Internet of Things;PHP;Python,,,บทความ,คอร์สออนไลน์รูปแบบวีดีโอภาษาไทย พร้อมแบบฝึกหัด/Lab,เงินเดือนและสวัสดิการ,Work-life balance ที่ดีขึ้น,จัดการเวลาไม่ได้,งานหนักเกินไป,"21,000 - 30,000 บาท","91,000 - 100,000 บาท",,
2562/07/26 10:21:51 หลังเที่ยง GMT+7,36 - 40 ปี,มัธยมศึกษาตอนปลาย,etc,Application support,3 - 4 ปี,"15,001 - 20,000 บาท",อื่นๆ,น้อยกว่า 1 ปี,,,,,,,,,,,,,,,ระดับพื้นฐาน,,,,,,,,,,ระดับพื้นฐาน,,,,,,,JavaScript;Python,,Systems Analysis,คอร์สเรียน Offline,คอร์สออนไลน์รูปแบบวีดีโอภาษาไทย พร้อมแบบฝึกหัด/Lab,ความก้าวหน้า,เงินเดือนและสวัสดิการที่มากขึ้น,การเปลี่ยน Requirements กลางคัน,ไม่พึงพอใจผู้ร่วมงาน,"21,000 - 30,000 บาท","91,000 - 100,000 บาท",ให้ความร่วมมือเมื่อมีการสอบถามข้อมูล,
2562/07/26 10:21:56 หลังเที่ยง GMT+7,มากกว่า 50 ปี,ปริญญาตรี,Back-end developer,,26 - 30 ปี,"90,001 - 100,000 บาท",Manufacturing Industry,20 ปี,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPG/400,,VbB.Net,Systems Analysis,บทความ,คอร์สออนไลน์รูปแบบวีดีโอภาษาไทย พร้อมแบบฝึกหัด/Lab,วัฒนธรรมองค์กร,มีโอกาสเติบโตและก้าวหน้ากว่าเดิม,ความไม่ชัดเจนของรายละเอียดงาน,ไม่เกิดการเรียนรู้สิ่งใหม่ๆ,"110,000 - 150,000 บาท","110,000 - 150,000 บาท",,มีบทความเกี่ยวกับแนวโน้มเทคโนโลยีใหม่ๆทีมีผลต่อการพัฒนาโปรแกรม
2562/07/26 10:21:56 หลังเที่ยง GMT+7,21 - 25 ปี,ปริญญาตรี,Back-end developer,,1 - 2 ปี,"60,001 - 70,000 บาท",อื่นๆ,6 ปี,,,ระดับพื้นฐาน,,,ระดับพื้นฐาน,,,,,,,,ระดับพื้นฐาน,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,ระดับพื้นฐาน,,,,,,,,ระดับพื้นฐาน,ระดับพื้นฐาน,,,,,ระดับพื้นฐาน,,CI/CD;Blockchain;Data Science;Git and Pull Requests;Bash/Shell/PowerShell;Go;R;Rust;Scala;TypeScript,,Computer Vision;Internet of things,บทความ,คอร์สออนไลน์รูปแบบเอกสารและบทความ ภาษาอังกฤษ,ความก้าวหน้า,มีโอกาสเติบโตและก้าวหน้ากว่าเดิม,ความรู้ความชำนาญไม่เพียงพอ,ไม่เกิดการเรียนรู้สิ่งใหม่ๆ,"71,000 - 80,000 บาท","มากกว่า 200,000 บาท",ช่วยตอนคำถาม และเข้าร่วมงานที่สมาคมจัด,จัดงานและสร้างช่องทางในการหาผู้ร่วมอุดมการ หรือความสนใจเพื่อทำโปรเจค
2562/07/26 10:22:40 หลังเที่ยง GMT+7,18 - 20 ปี,ปริญญาตรี,Educator,,ยังไม่ได้ทำงานเต็มเวลา,"ต่ำกว่า 15,000 บาท",อื่นๆ,,,ระดับพื้นฐาน,ระดับพื้นฐาน,ระดับพื้นฐาน,ระดับพื้นฐาน,ระดับพื้นฐาน,,,,,,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,ระดับพื้นฐาน,,ระดับพื้นฐาน,,,,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,Database;Git and Pull Requests;Internet of Things;Security;Bash/Shell/PowerShell;HTML/CSS;JavaScript;Kotlin;PHP;SQL;TypeScript,,Cloud/SaaS Services;Computer Vision;Content Marketing;Cyber Security;Graphic Design;Internet of things;SEO;Social media Marketing;Systems Analysis,Youtube,คอร์สออนไลน์รูปแบบวีดีโอภาษาไทย พร้อมแบบฝึกหัด/Lab,เงินเดือนและสวัสดิการ,มีโอกาสเติบโตและก้าวหน้ากว่าเดิม,ความไม่ชัดเจนของรายละเอียดงาน,จัดการ Work-life balance ไม่ได้,"31,000 - 40,000 บาท","มากกว่า 200,000 บาท",ตอบคำถามช่วยเหลือแก่สมาชิกกลุ่ม,ช่วยเหลือในเรื่อง ทรัพยากรด้านความรู้
2562/07/26 10:23:15 หลังเที่ยง GMT+7,21 - 25 ปี,ปริญญาตรี,Student,,ยังไม่ได้ทำงานเต็มเวลา,"ต่ำกว่า 15,000 บาท",Computer Industry,,,,,ระดับพื้นฐาน,ระดับพื้นฐาน,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,,,,,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,ระดับพื้นฐาน,,,,,,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,ระดับพื้นฐาน,ระดับพื้นฐาน,,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,Blockchain;Data Science;Pascal,,Data Science;Data Visualization;UX/UI Design,บทความ,คอร์สออนไลน์รูปแบบวีดีโอภาษาอังกฤษ พร้อมแบบฝึกหัด/Lab,ความท้าทาย,มีโอกาสเติบโตและก้าวหน้ากว่าเดิม,ความรู้ความชำนาญไม่เพียงพอ,จัดการ Work-life balance ไม่ได้,"61,000 - 70,000 บาท","110,000 - 150,000 บาท",,
2562/07/26 10:24:10 หลังเที่ยง GMT+7,26 - 30 ปี,ปริญญาตรี,Product manager,,7 - 10 ปี,"90,001 - 100,000 บาท",Social media Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cloud/SaaS Services;Data Science;Data Visualization;Digital Business Analysis,บทความ,คอร์สออนไลน์รูปแบบเอกสารและบทความ ภาษาอังกฤษ,ความท้าทาย,มีความท้าทายมากขึ้น,ความรู้ความชำนาญไม่เพียงพอ,ไม่เกิดการเรียนรู้สิ่งใหม่ๆ,"91,000 - 100,000 บาท","มากกว่า 200,000 บาท",,
2562/07/26 10:24:21 หลังเที่ยง GMT+7,36 - 40 ปี,ปริญญาตรี,etc,IT head section,16 - 20 ปี,"40,001 - 50,000 บาท",อื่นๆ,20 ปี,,,,,,,,,,,,,,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,,,,,,,,,,,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,Security;SQL;VBA,,,คอร์สเรียน Online,คอร์สออนไลน์รูปแบบวีดีโอภาษาไทย พร้อมแบบฝึกหัด/Lab,หนี้,มีความมั่นคงมากกว่าเดิม,ความรู้ความชำนาญไม่เพียงพอ,คนไม่พอ,"51,000 - 60,000 บาท","110,000 - 150,000 บาท",ส่วนใหญ่สมาคมจะเป็นฝ่าย contribute,แนะนำคอร์ส อะไรก็ได้ แนะนำไปเรื่อยๆ
2562/07/26 10:24:57 หลังเที่ยง GMT+7,21 - 25 ปี,ปริญญาตรี,Full-stack developer,,1 - 2 ปี,"20,001 - 30,000 บาท",Manufacturing Industry,6 ปี,,,,,,,,ระดับพื้นฐาน,,,ระดับพื้นฐาน,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,ระดับพื้นฐาน,,,,,,ระดับพื้นฐาน,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,,CI/CD;Blockchain;Data Science;Internet of Things;Bash/Shell/PowerShell;Rust;TypeScript;WebAssembly,,Internet of things,บทความ,คอร์สออนไลน์รูปแบบวีดีโอภาษาไทย พร้อมแบบฝึกหัด/Lab,ผู้ร่วมงาน,มีโอกาสเติบโตและก้าวหน้ากว่าเดิม,ความรู้ความชำนาญไม่เพียงพอ,ไม่เกิดการเรียนรู้สิ่งใหม่ๆ,"71,000 - 80,000 บาท","91,000 - 100,000 บาท",ส่งเสริมหรือแชร์ความรู้เรื่องโปรแกรมมิ่งหรืออื่นๆในสายงานให้กับคนในองค์กรเพื่อสร้างบุคลากรด้านนี้ให้เพิ่มขึ้น,
2562/07/26 10:25:08 หลังเที่ยง GMT+7,21 - 25 ปี,ปริญญาตรี,Back-end developer,,น้อยกว่า 1 ปี,"20,001 - 30,000 บาท",อื่นๆ,3 ปี,,,,,,ระดับพื้นฐาน,,,,,,,,ระดับพื้นฐาน,ระดับพื้นฐาน,ระดับพื้นฐาน,,,,,,,,ระดับพื้นฐาน,,,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,ระดับพื้นฐาน,,CI/CD;C++;TypeScript,,Internet of things,บทความ,คอร์สออนไลน์รูปแบบวีดีโอภาษาไทย พร้อมแบบฝึกหัด/Lab,ความก้าวหน้า,มีโอกาสเติบโตและก้าวหน้ากว่าเดิม,ความรู้ความชำนาญไม่เพียงพอ,เงินเดือนและสวัสดิการไม่คุ้มค่า,"31,000 - 40,000 บาท","110,000 - 150,000 บาท",share ข้าวเกียวกับงานต่าง ๆ หรือความรู้ที่คิดว่าอาจจะมีประโยชน์ต่อคนอื่น,"งาน event ต่าง ๆ, meeting, ..."
2562/07/26 10:26:02 หลังเที่ยง GMT+7,21 - 25 ปี,ปริญญาตรี,Student,,ยังไม่ได้ทำงานเต็มเวลา,"ต่ำกว่า 15,000 บาท",อื่นๆ,,,,,ระดับพื้นฐาน,,,,,,,,,,ระดับชำนาญ ทำงานได้อย่างคล่องแคล่ว,ระดับพื้นฐาน,ระดับพื้นฐาน,,,,,,,,ระดับพื้นฐาน,ระดับพื้นฐาน,,,,,ระดับพื้นฐาน,,Blockchain;Data Science;Internet of Things;Security;Python,,Cyber Security;SEO;Social media Marketing,Youtube,คอร์สออนไลน์รูปแบบวีดีโอภาษาอังกฤษ พร้อมแบบฝึกหัด/Lab,Work-life balance,เงินเดือนและสวัสดิการที่มากขึ้น,ขัดแย้งกับผู้ร่วมงาน,ไม่พึงพอใจผู้ร่วมงาน,"31,000 - 40,000 บาท","81,000 - 90,000 บาท",,
